entry_id,source_form,current_db_msn_headword,proposed_msn_headword,part_of_speech,gloss_en,gloss_es,primer_overlap,review_priority,msn_use_status,risk_flags,orthography_basis,search_fallbacks_json,source_id,source_file,source_reference,source_confidence,speaker_validation_status,editorial_status,recommended_action
kw::caxtolli::2,caxtolli,caxtolli,kaxtolli,num,fifteen.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""caxtolli"", ""kaxtolli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::caxtolli::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::cayochi::1,cayochi,cayochi,kayochi,noun,fox.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""cayochi"", ""cayoci"", ""kayochi"", ""kayoci""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cayochi::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::ce::3,ce,ce,se,num,one.,,no,P2_general_ehn_candidate,candidate_internal_use,,soft c > s,"[""ce"", ""se""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ce::sense-3,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::cecuiliztli::1,cecuiliztli,cecuiliztli,sekuilistli,noun,the cold.,,no,P2_general_ehn_candidate,candidate_internal_use,,soft c > s; z > s; hard c > k,"[""cecuiliztli"", ""sekuilistli"", ""secuilistli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cecuiliztli::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::cenquiztoc::1,cenquiztoc,cenquiztoc,senkistok,adj,pure.,,no,P2_general_ehn_candidate,candidate_internal_use,,qu > k before front vowel; soft c > s; z > s; hard c > k,"[""cenquiztoc"", ""senkistok"", ""sencistoc""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cenquiztoc::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::cequinoc::1,cequinoc,cequinoc,sekinok,det,plural of ceyoc,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,inflected_or_reference_form,qu > k before front vowel; soft c > s; hard c > k,"[""cequinoc"", ""sekinok"", ""secinoc""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cequinoc::sense-1,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::cetl::4,cetl,cetl,setl,noun,ice.,,no,P2_general_ehn_candidate,candidate_internal_use,,soft c > s,"[""cetl"", ""setl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cetl::sense-4,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::ceyoc::1,ceyoc,ceyoc,seyok,det,other.,,no,P2_general_ehn_candidate,candidate_internal_use,,soft c > s; hard c > k,"[""ceyoc"", ""seyok"", ""seyoc""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::ceyoc::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chalchokotl::2,chalchokotl,chalchokotl,chalchokotl,noun,guava,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chalchokotl"", ""calcokotl"", ""chalchocotl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chalchokotl::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chancaca::1,chancaca,chancaca,chankaka,noun,panela (solid piece of unrefined sugar).,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""chancaca"", ""cancaca"", ""chankaka"", ""cankaka""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chancaca::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chapoli::3,chapoli,chapoli,chapoli,noun,grasshopper.,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chapoli"", ""capoli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chapoli::sense-3,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chapolin::3,chapolin,chapolin,chapolin,noun,grasshopper.,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chapolin"", ""capolin""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chapolin::sense-3,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chapopohtli::1,chapopohtli,chapopohtli,chapopohtli,noun,tar.,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chapopohtli"", ""capopotli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chapopohtli::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chapopohtli::2,chapopohtli,chapopohtli,chapopohtli,noun,asphalt.,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chapopohtli"", ""capopotli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chapopohtli::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chapuli::1,chapuli,chapuli,chapoli,noun,"alternative spelling of chapoli, grasshopper",,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,alternative_spelling_gloss,gloss target: chapoli,"[""chapuli"", ""capuli"", ""chapoli"", ""capoli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chapuli::sense-1,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::chicahuac::2,chicahuac,chicahuac,chikawak,adj,strong.,,no,P2_general_ehn_candidate,candidate_internal_use,,hu> w before vowel; hard c > k,"[""chicahuac"", ""cicauac"", ""chikawak"", ""cikawak""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicahuac::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chicahualiztli::1,chicahualiztli,chicahualiztli,chikawalistli,noun,strength.,,no,P2_general_ehn_candidate,candidate_internal_use,,hu> w before vowel; z > s; hard c > k,"[""chicahualiztli"", ""cicaualiztli"", ""chikawalistli"", ""cikawalistli"", ""chicahualistli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicahualiztli::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chichi::5,chichi,chichi,chichi,noun,dog.,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chichi"", ""cici""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chichi::sense-5,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chichiltic::3,chichiltic,chichiltic,chichiltik,adj,obsolete spelling of chichiltik,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,obsolete_spelling_gloss;historical_or_archaic_note,gloss target: chichiltik,"[""chichiltic"", ""ciciltic"", ""chichiltik"", ""ciciltik""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chichiltic::sense-3,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::chichiltik::3,chichiltik,chichiltik,chichiltik,adj,red,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chichiltik"", ""ciciltik"", ""chichiltic""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chichiltik::sense-3,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chichimichin::2,chichimichin,chichimichin,chichimichin,noun,dolphin,,no,P2_general_ehn_candidate,candidate_internal_use,,identity,"[""chichimichin"", ""cicimicin""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chichimichin::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::chicnahui::2,chicnahui,chicnahui,chiknawi,num,nine.,,no,P2_general_ehn_candidate,candidate_internal_use,,hu> w before vowel; hard c > k,"[""chicnahui"", ""cicnaui"", ""chiknawi"", ""ciknawi""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::chicnahui::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
